Rk	team	categories	R1	R2	R3	R4	R5	R6	R7	R8	R9	Pts	Spk	1sts	2nds	3rds	Irons
1	Sofia A	ESL	1st	1st	1st	4th	1st	2nd	1st	1st	1st	23	1504	7	1	0	0
2	TAU A	ESL	1st	1st	1st	3rd	1st	2nd	2nd	1st	2nd	22	1509	5	3	1	0
3	Ateneo A		1st	1st	1st	1st	1st	1st	3rd	3rd	3rd	21	1502	6	0	3	0
4	Sydney D		3rd	1st	1st	1st	1st	1st	1st	2nd	4th	21	1479	6	1	1	0
5	TCD Phil A		1st	2nd	1st	3rd	2nd	2nd	2nd	1st	1st	21	1479	4	4	1	0
6	LSE A		1st	1st	2nd	2nd	3rd	2nd	1st	2nd	2nd	20	1503	3	5	1	0
7	Sydney B		1st	2nd	1st	1st	2nd	3rd	2nd	1st	3rd	20	1479	4	3	2	0
8	Harvard A		1st	1st	3rd	1st	3rd	1st	2nd	3rd	1st	20	1473	5	1	3	0
9	UNSW A		1st	3rd	3rd	2nd	1st	1st	3rd	1st	1st	20	1460	5	1	3	0
10	Bucharest A	ESL	2nd	2nd	2nd	2nd	3rd	1st	1st	2nd	1st	20	1441	3	5	1	0
11	Stanford A		1st	1st	1st	2nd	3rd	2nd	3rd	2nd	2nd	19	1484	3	4	2	0
12	McGill A		1st	3rd	1st	1st	3rd	1st	4th	2nd	1st	19	1472	5	1	2	0
13	Princeton B		1st	2nd	1st	1st	2nd	4th	2nd	3rd	1st	19	1468	4	3	1	0
14	Princeton C		1st	3rd	1st	1st	1st	3rd	1st	4th	2nd	19	1465	5	1	2	0
15	Yale A		1st	3rd	3rd	1st	2nd	2nd	1st	3rd	1st	19	1460	4	2	3	0
16	UNWE A	ESL	2nd	1st	3rd	4th	1st	1st	1st	2nd	2nd	19	1453	4	3	1	0
17	EUDU A	ESL	1st	2nd	1st	3rd	3rd	1st	2nd	1st	3rd	19	1447	4	2	3	0
18	McGill B		1st	1st	3rd	1st	4th	2nd	2nd	2nd	1st	19	1445	4	3	1	0
19	LSE B		1st	1st	3rd	2nd	1st	1st	4th	4th	1st	18	1477	5	1	1	0
20	Sydney A		1st	1st	2nd	1st	4th	1st	1st	4th	3rd	18	1463	5	1	1	0
21	Zagreb A	ESL	1st	1st	3rd	2nd	2nd	3rd	2nd	2nd	2nd	18	1454	2	5	2	0
22	HUJI A		3rd	1st	2nd	1st	1st	4th	1st	1st	4th	18	1448	5	1	1	0
23	Oxford B		2nd	3rd	1st	1st	2nd	4th	1st	1st	3rd	18	1448	4	2	2	0
24	Melbourne A		3rd	1st	1st	3rd	1st	3rd	2nd	2nd	2nd	18	1448	3	3	3	0
25	St Andrews A		2nd	1st	1st	4th	2nd	4th	2nd	1st	1st	18	1442	4	3	0	0
26	Sydney C		1st	2nd	3rd	1st	1st	4th	1st	4th	1st	18	1441	5	1	1	0
27	Ateneo B		1st	2nd	2nd	4th	4th	1st	1st	1st	2nd	18	1437	4	3	0	0
28	McGill C		3rd	3rd	1st	2nd	1st	3rd	1st	3rd	1st	18	1434	4	1	4	0
29	QDU A		1st	3rd	1st	2nd	4th	2nd	2nd	2nd	1st	18	1434	3	4	1	0
30	Queensland A		3rd	1st	1st	2nd	4th	3rd	1st	1st	2nd	18	1418	4	2	2	0
31	Oxford A		1st	2nd	1st	4th	1st	2nd	1st	4th	3rd	17	1455	4	2	1	0
32	NUS B		1st	1st	2nd	4th	4th	3rd	2nd	1st	1st	17	1452	4	2	1	0
33	Alberta A		1st	1st	2nd	2nd	4th	3rd	2nd	3rd	1st	17	1449	3	3	2	0
34	ANU A		1st	3rd	3rd	1st	1st	4th	1st	1st	4th	17	1440	5	0	2	0
35	NUS A		1st	1st	4th	2nd	1st	4th	2nd	2nd	2nd	17	1440	3	4	0	0
36	Hart House A		2nd	2nd	2nd	1st	1st	4th	3rd	1st	3rd	17	1440	3	3	2	0
37	PUCP A	ESL, EFL	2nd	2nd	2nd	2nd	1st	1st	3rd	2nd	4th	17	1439	2	5	1	0
38	HWS A		2nd	2nd	1st	1st	2nd	3rd	2nd	3rd	3rd	17	1437	2	4	3	0
39	UPD A		2nd	1st	3rd	2nd	2nd	1st	4th	3rd	1st	17	1436	3	3	2	0
40	Sydney F		2nd	1st	3rd	3rd	2nd	4th	1st	1st	2nd	17	1434	3	3	2	0
41=	Bates A		1st	3rd	2nd	3rd	1st	3rd	1st	1st	4th	17	1427	4	1	3	0
41=	Sofia B	ESL	3rd	1st	1st	4th	3rd	1st	2nd	3rd	1st	17	1427	4	1	3	0
43	Tokyo A	ESL	3rd	1st	3rd	1st	3rd	3rd	1st	3rd	1st	17	1422	4	0	5	0
44	Harvard C		1st	2nd	2nd	4th	3rd	3rd	1st	2nd	1st	17	1422	3	3	2	0
45	Chicago B		1st	4th	1st	3rd	1st	3rd	2nd	1st	3rd	17	1420	4	1	3	0
46	TAU B	ESL	3rd	4th	1st	1st	3rd	1st	2nd	2nd	2nd	17	1415	3	3	2	0
47	Cornell A		1st	2nd	2nd	3rd	3rd	1st	4th	2nd	1st	17	1413	3	3	2	0
48	Sciences Po B	ESL	4th	2nd	1st	2nd	1st	3rd	3rd	1st	2nd	17	1403	3	3	2	0
49	Brown A		2nd	3rd	3rd	4th	1st	2nd	1st	1st	2nd	17	1388	3	3	2	0
50	UNSW B		1st	2nd	1st	2nd	2nd	2nd	4th	3rd	3rd	16	1444	2	4	2	0
51	Macquarie A		2nd	2nd	1st	2nd	2nd	3rd	2nd	4th	2nd	16	1444	1	6	1	0
52	Yale B		2nd	1st	2nd	3rd	1st	1st	4th	3rd	3rd	16	1438	3	2	3	0
53	Auckland A		1st	2nd	4th	3rd	3rd	1st	1st	1st	4th	16	1435	4	1	2	0
54	EUDU C		4th	2nd	2nd	1st	2nd	1st	1st	4th	3rd	16	1433	3	3	1	0
55	Zagreb C	ESL, EFL	2nd	1st	2nd	4th	1st	1st	4th	1st	4th	16	1430	4	2	0	0
56	Oxford C		2nd	1st	1st	3rd	2nd	2nd	3rd	4th	2nd	16	1430	2	4	2	0
57	Duke B		1st	2nd	3rd	3rd	1st	3rd	1st	3rd	3rd	16	1428	3	1	5	0
58	DK Wien A	ESL	1st	4th	1st	4th	3rd	1st	4th	1st	1st	16	1422	5	0	1	0
59	Harvard B		3rd	1st	2nd	1st	3rd	4th	2nd	1st	3rd	16	1422	3	2	3	0
